,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
192,Drama,Movie,Jordan's River Movie,2011,8.0,tt12898366
193,Drama,Movie,Warrior,2011,10.0,tt1291584
194,Drama,Movie,The Ride of Tom & Valkyrie,2011,,tt1292650
195,Drama,Movie,Bloom,2011,,tt1293086
196,Drama,Movie,Code 207,2011,,tt1295026
197,Drama,Movie,The FP,2011,3.0,tt1296373
198,Drama,Movie,Eva,2011,10.0,tt1298554
199,Drama,Movie,Juni,2011,,tt1298840
200,Drama,Movie,Mister Tangewala,2011,6.0,tt13011918
201,Drama,Movie,First Time for Everything,2011,10.0,tt1978440
202,Drama,Movie,Violent Blue,2011,1.0,tt1303773
203,Drama,Movie,"Laifu, Laifu",2011,8.0,tt13038778
204,Drama,Movie,Kak possorilis...,2011,,tt13041650
205,Drama,Movie,The Story of Respect,2011,6.0,tt1304621
206,Drama,Movie,50/50,2011,12.0,tt1306980
207,Drama,Movie,All Stars 2: Old Stars,2011,10.0,tt1307859
208,Drama,Movie,Lost Saints and Other Stories,2014,6.0,tt1307875
209,Drama,Movie,Go for It!,2011,5.0,tt1307926
210,Drama,Movie,NokotaHeart,2011,,tt1307990
211,Drama,Movie,Bizim Büyük Çaresizligimiz,2011,4.0,tt1309178
212,Drama,Movie,Without Borders,2012,8.0,tt1309575
213,Drama,Movie,Last Will,2011,5.0,tt1312222
214,Drama,Movie,The Oranges,2012,10.0,tt1313139
215,Drama,Movie,Hagader,2011,,tt13148494
216,Drama,Movie,Shura no hado kanketsu-hen,2011,,tt13155850
217,Drama,Movie,Gokudo chushingura,2011,,tt13156092
218,Drama,Movie,The Gadarene Swine,2011,,tt1316047
219,Drama,Movie,Generosity,2011,,tt1316050
220,Drama,Movie,Last Winter,2011,1.0,tt1316062
221,Drama,Movie,Blaxican Brothers,2021,1.0,tt1315932
222,Drama,Movie,The Year Dolly Parton Was My Mom,2011,3.0,tt1316624
223,Drama,Movie,A torinói ló,2011,10.0,tt1316540
224,Drama,Movie,There Be Dragons,2011,3.0,tt1316616
225,Drama,Movie,Rise of the Planet of the Apes,2011,8.0,tt1318514
226,Drama,Movie,The Preening Swan,2011,11.0,tt1319730
227,Drama,Movie,The Beaver,2011,7.0,tt1321860
228,Drama,Movie,Mlyn i krzyz,2011,3.0,tt1324055
229,Drama,Movie,The Custom Mary,2011,8.0,tt1325019
230,Drama,Movie,The Twilight Saga: Breaking Dawn - Part 1,2011,11.0,tt1324999
231,Drama,Movie,Choose,2012,3.0,tt1325723
232,Drama,Movie,Far Rockaway,2011,,tt1326217
233,Drama,Movie,Victory Day,2011,3.0,tt1329456
