0,1,2,3,4
Sushant Singh,1986,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Tony Henden,No data,[''],['Reparto'],Más en IMDbPro
Armani Gabriel,No data,"['Todos mis hijos', '2011 • 1 episodio', 'Roland James(as Armand Gabriel)', 'David(as Armand Gabriel)']",['Reparto'],Sin oscar
Maribel Verdú,1970,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Nenad Ciric,1958,"['La zona muerta', 'TV teatar', '1996–2018 • 7 episodios', '2023', '1985']","['Reparto', 'Arte']",Sin oscar
Gary Sugarman,No data,[''],"['Reparto', 'Producción']",Más en IMDbPro
Michael Shannon,1974,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 2 premios Óscar
Tae Kimura,1971,"['Gururi no koto', 'Rasen', '1999 • 10 episodios', 'Miyuki', 'Hisako Tanuma']",['Reparto'],Sin Oscar
Ayesha Mohan,No data,"['Gulaal', 'Modus Operandi', 'The Pool', 'Hamlet A.D.D.']","['Reparto', 'Guion y continuidad']",Sin oscar
Dorian Missick,1976,[''],"['Reparto', 'Producción']",Sin Oscar
Mohammed Afzal,No data,"['Un corazón invencible', 'Chain Kulii Ki Main Kulii', 'Valley of Saints', 'More Than Just a Game']","['Reparto', 'Sonido']",Sin oscar
Anoop Menon,1976,[''],"['Reparto', 'Guion', 'Música']",Sin Oscar
Leon,marzo,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Padruig Moireasdan,No data,"['Seachd: The Inaccessible Pinnacle', 'Buidheagain']","['Reparto', 'Composición']",Sin oscar
Abdelhamid Aktouche,No data,"['Cuscús', 'Dieumerci!', 'Hasta tiene tus ojos', 'Le Rodba', '2010']",['Reparto'],Sin oscar
Michael Eklund,19??,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Alexandar Georgiev,No data,"['Iluzija', 'Jas sum od Titov Veles', 'Dios es mujer y se llama Petrunya', 'Makedonski narodni prikazni 2', '1999–2003 • 4 episodios']",['Reparto'],Sin oscar
José Sefami,No data,[''],"['Reparto', 'Producción', 'Banda sonora']",Más en IMDbPro
Steve McMoy,No data,"['Birdemic: Shock and Terror', 'Replica', 'Fairfield, Idaho', 'The Four Twenty-One']",['Reparto'],Sin oscar
Craig Fairbrass,1964,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Juan Antonio Quintana,1939,"['Mamá es boba', 'El Ministerio del Tiempo', '2016 • 1 episodio', 'Cristóbal Colón', 'AlbertoDios']","['Reparto', 'Casting']",Sin Oscar
Suzuka Ohgo,1993,[''],['Reparto'],Sin Oscar
Avner W. Less,No data,['Trailer 1:55'],No data,Más en IMDbPro
Ricardo Darín,1957,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Brendan Conroy,No data,[''],['Reparto'],Sin Oscar
Angie Everhart,1969,[''],"['Reparto', 'Producción']",Sin oscar
Tim Reid,1944,[''],"['Reparto', 'Producción', 'Guion']",Nominado para 2 premios Primetime Emmy
Redwood,No data,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Más en IMDbPro
Hugh Hayes,No data,"['The Theban Plays by Sophocles', '1986 • 1 episodio', '1996', 'Technician', 'Serie de TV']",['Reparto'],Sin oscar
Guillaume Canet,1973,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Colin Farrell,1976,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 1 premio Óscar
Reggie Cunningham,No data,"['Wild Thing: I Love You', '2006 • 1 episodio']",No data,Sin oscar
Noureen DeWulf,1984,[''],['Reparto'],Sin Oscar
Kianha Daniels,No data,"['All Souls', '2001 • 1 episodio', 'Surgical nurse', 'Candy']",['Reparto'],Sin oscar
Kaarina Hazard,1966,[''],"['Reparto', 'Guion', 'Guion y continuidad']",Sin Oscar
Claudia Andrade,No data,"['Mistérios de Lisboa', '1997', 'Helena']",['Reparto'],Sin oscar
Samantha Figura,octubre,"['One Day Like Rain', 'Pass the Light', 'BoomChickBoom Sketchisodes', '2011 • 1 episodio', 'Young Taryn Baker']","['Reparto', 'Producción', 'Guion']",Sin Oscar
Brooke Nevin,1982,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Susan Blackwell,1969,[''],"['Guion', 'Reparto', 'Composición']",Sin Oscar
Amparo Moreno,1949,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Shyann McClure,2000,[''],"['Reparto', 'Banda sonora']",Sin oscar
Gracie May Weldon,No data,"['Sweeney Todd: El barbero diabólico de la calle Fleet', 'Los asesinatos de Midsomer', '2007 • 1 episodio', '2018', '2016']","['Reparto', 'Arte']",Sin oscar
Jean-Pierre Martins,1971,[''],"['Reparto', 'Composición']",Sin Oscar
Faith He,1941,[''],['Reparto'],Sin oscar
Lee Garlington,1953,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 1 premio Primetime Emmy
António Pedro Figueiredo,No data,"[""Daqui P'ra Frente"", 'Em Segunda Mão', 'Fuego fatuo', '4 Copas']","['Sonido', 'Reparto', 'Guion']",Sin Oscar
Pruitt Taylor Vince,1960,[''],"['Reparto', 'Dirección']",Ganó 1 premio Primetime Emmy
Linda Kulle,No data,"['The Unthinkable', 'Den nya människan', 'Eagles', '2022 • 3 episodios', 'Henrietta']",['Reparto'],Sin oscar
Stefano Accorsi,1971,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Zezeh Barbosa,1963,[''],"['Reparto', 'Composición']",Sin Oscar
Amandine Maudet,No data,"['Vent mauvais', 'Le grand alibi', ""Palmashow, l'émission"", '2012 • 1 episodio', 'Reparto']",['Reparto'],Sin oscar
Emmanuelle Chriqui,1975,[''],"['Reparto', 'Producción']",Sin Oscar
Stephen Stanton,agosto,[''],"['Reparto', 'Efectos visuales', 'Dirección']",Sin Oscar
Jackson Lee,1957,[''],"['Dirección', 'Producción', 'Guion']",Ganó 1 premio Óscar
Wenkang Yuan,1985,[''],['Reparto'],Sin Oscar
Roland Düringer,1963,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Patrick Lyster,No data,[''],['Reparto'],Más en IMDbPro
