0,1,2,3
tt0117663,The Slab Boys,"6,0",NO DATA
tt0117567,Scorned 2,"3,9",50
tt0117884,Testimone a rischio,"6,7",NO DATA
tt0118240,Özgä vaxt,"8,2",83
tt0117555,Savrseni krug,"8,1",70
tt0117939,Tonka,"6,8",NO DATA
tt0117417,Ji lao si shi,"6,6",7
tt0117343,Pintadas,"6,3",NO DATA
tt0117645,Den sidste viking,"5,3",NO DATA
tt0117649,Le silence de Rak,"6,2",NO DATA
tt0118175,Winterblume,"6,8",6
tt0117217,The Nurse,"4,6",10
tt0117496,Robinson Crusoe,"5,9",39
tt0117724,Squeeze,"5,9",73
tt0117959,La tregua,"6,5",NO DATA
tt0119397,Jag är din krigare,"5,6",NO DATA
tt0119263,He liu,"7,2",19
tt0119385,Iruvar,"8,4",NO DATA
tt0119225,Gridlock'd,"6,9",88
tt0119242,Généalogies d'un crime,"6,4",67
tt0119324,The House of Yes,"6,5",NO DATA
tt0119412,Jmeno kodu: Rubin,"5,9",94
tt0119234,Gudia,"7,1",NO DATA
tt0119311,Hoodlum,"6,3",43
tt0119342,Héroïnes,"5,5",NO DATA
tt0119352,Ill Gotten Gains,"5,3",NO DATA
tt0119409,Je ne vois pas ce qu'on me trouve,"6,0",NO DATA
tt0119236,Guidao,"5,5",NO DATA
tt0119250,Hana-bi,"7,7",96
tt0119477,Kokkuri-san,"4,5",NO DATA
tt0119217,Good Will Hunting,"8,3",97
tt0119252,Hantises,"3,8",NO DATA
tt0119280,Mrs Brown,"7,2",70
tt0119472,Knockin' on Heaven's Door,"7,8",92
tt0119241,Gyilkos kedv,"5,7",NO DATA
tt0119316,Hosszú alkony,"7,2",NO DATA
tt0119368,The Informant,"6,3",43
tt0119396,Jackie Brown,"7,5",94
tt0119361,In the Company of Men,"7,1",NO DATA
tt0119536,The Life of Stuff,"4,0",NO DATA
tt0119581,Loved,"4,6",NO DATA
tt0119610,Le mani forti,"6,4",NO DATA
tt0119773,Nettoyage à sec,"6,8",NO DATA
tt0119859,Paradise Road,"6,8",43
tt0119428,Judwaa,"6,1",NO DATA
tt0119510,Das Leben ist eine Baustelle.,"7,2",NO DATA
tt0119468,Kiss the Girls,"6,6",2
tt0119592,Mad City,"6,3",36
tt0119753,Nagareita shichinin,"6,0",NO DATA
tt0119828,On connaît la chanson,"7,3",NO DATA
tt0119906,Playing God,"5,6",19
tt0119467,Kiss or Kill,"6,3",83
tt0119608,Mandragora,"6,6",73
tt0119582,Lovelife,"5,6",28
tt0119576,Love in Paris,"2,9",NO DATA
tt0119808,Nous sommes tous encore ici,"7,3",NO DATA
tt0119858,Paradise Falls,"6,2",NO DATA
tt0119547,Little Boy Blue,"6,2",61
tt0119574,Love and Death on Long Island,"6,9",NO DATA
tt0119653,Men,"5,2",22
tt0119743,My Son the Fanatic,"6,8",79
tt0119711,Mat i syn,"7,3",79
tt0119448,Karakter,"7,7",92
tt0119555,Living in Peril,"5,3",26
tt0119622,The Marksmen,"6,3",92
tt0119616,Maria,"6,2",11
tt0119656,Men with Guns,"5,3",NO DATA
tt0119820,Ogifta par ...en film som skiljer sig,"5,8",NO DATA
tt0119463,Kini & Adams,"7,2",NO DATA
tt0119506,Lawn Dogs,"7,4",72
tt0119591,Macbeth,"5,1",NO DATA
tt0119684,Mixed Signals,"5,2",NO DATA
tt0119738,My Best Friend's Wedding,"6,3",74
tt0119780,"Niagara, Niagara","6,9",NO DATA
tt0119815,"O Que é Isso, Companheiro?","7,4",4
tt0119609,Mange ta soupe,"6,4",NO DATA
tt0119720,The Death Sentence: Mrityu Dand,"7,2",4
tt0119721,Mrityudaata,"2,8",NO DATA
tt0119817,Ocean Tribe,"6,7",NO DATA
tt0119861,Pardes,"6,9",72
tt0119846,Our God's Brother,"6,2",NO DATA
tt0119558,Lolita,"6,8",NO DATA
tt0119589,Ma 6-T va crack-er,"5,6",49
tt0119668,Midnight in the Garden of Good and Evil,"6,6",6
tt0119617,Marianne,"5,2",64
tt0119900,La pistola de mi hermano,"5,5",5
tt0119427,Judaai,"6,1",43
tt0119429,Julian Po,"6,0",67
tt0119629,Al-massir,"7,2",NO DATA
tt0119837,The Only Thrill,"6,0",41
tt0119921,Porto Santo,"5,1",NO DATA
tt0119485,Kundun,"7,0",74
tt0119694,Mondo Bobo,"6,6",NO DATA
tt0119774,Nevada,"5,3",22
tt0119792,Nil by Mouth,"7,3",77
tt0119228,Grind,"5,4",NO DATA
tt0119346,I Married a Strange Person!,"6,9",NO DATA
tt0119272,Heaven's Burning,"5,7",36
tt0119395,The Jackal,"6,4",46
tt0119527,Deceiver,"6,5",42
